Model:,Kit Enclosure v26
132,Body4,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
133,Body5,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
134,Body6,,1,,21.15 x 7.9 x 5,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
135,Body7,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
136,Body8,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
137,Body9,,1,,39.65 x 21.3 x 8.75,Electronic Components:1->Green Start Switch:1->Switch Module (1):2
138,Body1,,1,,76.7 x 55.5 x 33.3,Electronic Components:1->HY VFD Controller:1
139,Body1,,1,,119 x 119 x 4,Electronic Components:1->120mm Fan Filter:1
140,Body1,,1,,111.97 x 109.28 x 18.75,Electronic Components:1->8774N18_DC Equipment-Cooling Fan:1
141,Body2,,1,,120 x 120 x 30,Electronic Components:1->8774N18_DC Equipment-Cooling Fan:1
142,Body1,,1,,215.2 x 115 x 30.05,Electronic Components:1->MW LRS-350-48 Power Supply:1
143,Body1,,1,,159 x 97 x 29.5,Electronic Components:1->Mean Well LRS 150W 24V:1
144,Body2,,1,,4.8 x 4.03 x 3.33,Electronic Components:1->Mean Well LRS 150W 24V:1
145,Body3,,1,,143 x 95.3 x 28.5,Electronic Components:1->Mean Well LRS 150W 24V:1
146,Body4,,1,,152.05 x 94 x 16.6,Electronic Components:1->Mean Well LRS 150W 24V:1
147,Body1,,1,,83.21 x 25 x 18.2,Electronic Components:1->Emi Filter Din Rail Mount:1
148,Body1,,1,,83.21 x 52 x 38,Electronic Components:1->20A EMI Filter:1
149,Body2,,1,,13 x 7.17 x 4.3,Electronic Components:1->20A EMI Filter:1
150,Body3,,1,,13 x 7.17 x 4.3,Electronic Components:1->20A EMI Filter:1
151,Body4,,1,,13 x 7.17 x 4.3,Electronic Components:1->20A EMI Filter:1
152,Body5,,1,,6.4 x 5.9 x 3.8,Electronic Components:1->20A EMI Filter:1
153,Body6,,1,,6.4 x 5.9 x 3.5,Electronic Components:1->20A EMI Filter:1
154,Body7,,1,,6.4 x 5.9 x 3.8,Electronic Components:1->20A EMI Filter:1
155,Body8,,1,,13 x 6.4 x 1,Electronic Components:1->20A EMI Filter:1
156,Body9,,1,,6.4 x 5.9 x 3.8,Electronic Components:1->20A EMI Filter:1
157,Body10,,1,,8.5 x 6.4 x 1,Electronic Components:1->20A EMI Filter:1
158,Body11,,1,,13 x 7.17 x 4.3,Electronic Components:1->20A EMI Filter:1
159,Body12,,1,,6.4 x 5.9 x 3.8,Electronic Components:1->20A EMI Filter:1
160,Body13,,1,,13 x 6.4 x 1,Electronic Components:1->20A EMI Filter:1
161,Body14,,1,,6.4 x 5.9 x 3.5,Electronic Components:1->20A EMI Filter:1
162,Body15,,1,,13 x 6.4 x 1,Electronic Components:1->20A EMI Filter:1
163,Body16,,1,,13 x 6.4 x 1,Electronic Components:1->20A EMI Filter:1
164,Body1,,1,,4 x 2.48 x 0.4,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
165,Body2,,1,,29.99 x 9.2 x 4.67,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
166,Body3,,1,,17.67 x 16.5 x 13.71,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
167,Body4,,1,,12 x 10 x 0.5,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
168,Body5,,1,,12 x 10 x 0.5,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
169,Body6,,1,,7.24 x 6.3 x 1.85,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
170,Body7,,1,,7.24 x 6.3 x 1.85,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
171,Body8,,1,,79.48 x 69.3 x 17.7,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
172,Body9,,1,,4 x 2.48 x 0.4,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
173,Body10,,1,,29.99 x 9.2 x 4.67,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
174,Body11,,1,,17.67 x 16.5 x 13.71,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
175,Body12,,1,,12 x 10 x 0.5,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
176,Body13,,1,,12 x 10 x 0.5,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
177,Body14,,1,,7.24 x 6.3 x 1.85,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
178,Body15,,1,,7.24 x 6.3 x 1.85,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
179,Body16,,1,,79.48 x 69.3 x 17.7,Electronic Components:1->7026K616_DIN-Rail Mount AC Equipment Circuit Breaker:1
180,Body1,,1,,76.1 x 51 x 44.8,Electronic Components:1->lc1d32bl_1:1
181,Body2,,1,,84.8 x 44.8 x 33.39,Electronic Components:1->lc1d32bl_1:1
182,Body3,,1,,53.6 x 44.8 x 16.6,Electronic Components:1->lc1d32bl_1:1
183,Body4,,1,,44.81 x 29.5 x 5.85,Electronic Components:1->lc1d32bl_1:1
184,Body5,,1,,44.64 x 16.4 x 3.51,Electronic Components:1->lc1d32bl_1:1
185,Body6,,1,,7.91 x 6.6 x 2,Electronic Components:1->lc1d32bl_1:1
186,Body7,,1,,7.91 x 6.6 x 2,Electronic Components:1->lc1d32bl_1:1
187,Body8,,1,,7.91 x 6.6 x 2,Electronic Components:1->lc1d32bl_1:1
188,Body9,,1,,7.91 x 6.6 x 2,Electronic Components:1->lc1d32bl_1:1
189,Body10,,1,,7.91 x 6.6 x 2,Electronic Components:1->lc1d32bl_1:1
190,Body11,,1,,7.91 x 6.6 x 2,Electronic Components:1->lc1d32bl_1:1
191,Body12,,1,,6.39 x 5.05 x 2,Electronic Components:1->lc1d32bl_1:1
192,Body13,,1,,6.39 x 5.05 x 2,Electronic Components:1->lc1d32bl_1:1
193,Body14,,1,,6.39 x 5.05 x 2,Electronic Components:1->lc1d32bl_1:1
194,Body15,,1,,6.39 x 5.05 x 2,Electronic Components:1->lc1d32bl_1:1
195,Body16,,1,,6.39 x 5.05 x 2,Electronic Components:1->lc1d32bl_1:1
196,Body17,,1,,6.39 x 5.05 x 2,Electronic Components:1->lc1d32bl_1:1
197,Body1,,1,,118.3 x 87.5 x 34,Electronic Components:1->DM542T Driver:1
198,Body1,,1,,111.97 x 109.28 x 18.75,Electronic Components:1->8774N18_DC Equipment-Cooling Fan (1):1
199,Body2,,1,,120 x 120 x 30,Electronic Components:1->8774N18_DC Equipment-Cooling Fan (1):1
200,Body1,,1,,118.3 x 87.5 x 34,Electronic Components:1->DM542T Driver:2
201,Body1,,1,,118.3 x 87.5 x 34,Electronic Components:1->DM542T Driver:3
202,Body1,,1,,118.3 x 87.5 x 34,Electronic Components:1->DM542T Driver:4
203,Body1,,1,,118.3 x 87.5 x 34,Electronic Components:1->DM542T Driver:5
204,Body1,,1,,119 x 119 x 4,Electronic Components:1->120mm Fan Filter (1):1
205,Body1,,1,,127 x 101.6 x 1.56,Electronic Components:1->Flexihal PCB:1
206,AC Section,,1,,170 x 125 x 59.52,Electronic Components:1->HY VFD:1
207,Control Section,,1,,170 x 125 x 79.98,Electronic Components:1->HY VFD:1
208,Small Grommet,,1,,17.07 x 13.93 x 5,Electronic Components:1->HY VFD:1
209,Large Grommet,,1,,82.76 x 23 x 5,Electronic Components:1->HY VFD:1
210,Body1,,1,,290 x 35 x 7.5,Din Rail and Wire Ducts:1->DIN Rail 290mm:1
211,Body1,,1,,295 x 25.24 x 5.58,Din Rail and Wire Ducts:1->Wire Duct_25x25x295mm:1
212,Body2,,1,,295 x 25.24 x 23.35,Din Rail and Wire Ducts:1->Wire Duct_25x25x295mm:1
213,Body1,,1,,200 x 25.24 x 5.58,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:1
214,Body2,,1,,200 x 25.24 x 23.35,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:1
215,Body1,,1,,200 x 25.24 x 5.58,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:3
216,Body2,,1,,200 x 25.24 x 23.35,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:3
217,Body1,,1,,200 x 25.24 x 5.58,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:2
218,Body2,,1,,200 x 25.24 x 23.35,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:2
219,Body1,,1,,295 x 25.24 x 5.58,Din Rail and Wire Ducts:1->Wire Duct_25x25x295mm:2
220,Body2,,1,,295 x 25.24 x 23.35,Din Rail and Wire Ducts:1->Wire Duct_25x25x295mm:2
221,Body1,,1,,150 x 25.24 x 5.58,Din Rail and Wire Ducts:1->Wire Duct_25x25x150mm:1
222,Body2,,1,,150 x 25.24 x 23.35,Din Rail and Wire Ducts:1->Wire Duct_25x25x150mm:1
223,Body1,,1,,200 x 25.24 x 5.58,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:4
224,Body2,,1,,200 x 25.24 x 23.35,Din Rail and Wire Ducts:1->Wire Duct_25x25x200mm:4
225,terminals_panel,,1,,119 x 119 x 4,3d Printed Parts:1->XYZAB Terminals Cover:1
226,Body1,,1,,36 x 27.14 x 23.5,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->M20 Cable Gland:1->M20 Body (1) (1) (1)(Mirror):1
227,Body1,,1,,27.71 x 24 x 20,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->M20 Cable Gland:1->M20 Nut (1) (1) (1)(Mirror):1
228,Body1,,1,,30.25 x 27 x 5,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->M20 Cable Gland:1->M20 Lock Nut:1
229,Body1,,1,,29.5 x 27 x 26,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
230,Body2,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
231,Body3,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
232,Body4,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
233,Body5,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
234,Body6,,1,,10 x 6.5 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
235,Body7,,1,,18 x 13.01 x 2.56,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
236,Body8,,1,,25.5 x 22 x 2,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
237,Body9,,1,,18 x 13.01 x 2.56,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
238,Body10,,1,,22 x 19 x 7.87,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
239,Body11,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
240,Body12,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
241,Body13,,1,,10 x 6.5 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
242,Body14,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
243,Body15,,1,,10 x 6.5 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
244,Body16,,1,,10 x 6.5 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
245,Body17,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
246,Body1,,1,,53 x 30 x 30,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->C20 Socket:1
247,Body1,,1,,119 x 119 x 7,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->AC Plate:1
248,Body1,,1,,119 x 118.94 x 18,3d Printed Parts:1->VFD Display and Switches Plate:1
249,Body1,,1,,84.1 x 22.4 x 22.25,3d Printed Parts:1->Wago 4x 221-415 Mount:1
250,Body1,,1,,127.4 x 115.9 x 7,3d Printed Parts:1->Flexihal or Mesa7i96s Mounting Plate (1):1
251,rs25_psu_bracket,,1,,67 x 26.6 x 10,3d Printed Parts:1->Flexihal or Mesa7i96s Mounting Plate (1):1->GH2k or Relay Din Clamp 2x:1
252,rs25_psu_bracket,,1,,67 x 26.6 x 10,3d Printed Parts:1->Flexihal or Mesa7i96s Mounting Plate (1):1->GH2k or Relay Din Clamp 2x:2
253,Body1,,1,,103.5 x 38.5 x 15,3d Printed Parts:1->150W Power Supply Clip:1
254,Body2,,1,,103.5 x 38.5 x 15,3d Printed Parts:1->150W Power Supply Clip:1
255,Body1,,1,,121.5 x 38.5 x 15,3d Printed Parts:1->350W Power Supply Clip:1
256,Body2,,1,,121.5 x 38.5 x 15,3d Printed Parts:1->350W Power Supply Clip:1
257,Body1,,1,,130.5 x 43.5 x 15,3d Printed Parts:1->450W Power Supply Clip:1
258,Body2,,1,,130.5 x 43.5 x 15,3d Printed Parts:1->450W Power Supply Clip:1
